  col0   col1              col2   col3              col4  
   7.0    0.0               0.0    0.0               0.0  
   7.1    0.0               0.0    0.0               0.0  
   7.2    0.0               0.0    0.0               0.0  
   7.3    0.0               0.0    0.0               0.0  
   7.4    0.0               0.0    0.0               0.0  
   7.5    0.0               0.0    0.0               0.0  
   7.6    0.0               0.0    0.0               0.0  
   7.7    0.0               0.0    0.0               0.0  
   7.8    0.0               0.0    0.0               0.0  
   7.9    0.0               0.0    0.0               0.0  
   8.0    0.0               0.0    0.0               0.0  
   8.1    1.0   0.0909090909091    1.0   0.0909090909091  
   8.2    0.0               0.0    1.0   0.0909090909091  
   8.3    0.0               0.0    1.0   0.0909090909091  
   8.4    1.0   0.0909090909091    2.0    0.181818181818  
   8.5    0.0               0.0    2.0    0.181818181818  
   8.6    1.0   0.0909090909091    3.0    0.272727272727  
   8.7    1.0   0.0909090909091    4.0    0.363636363636  
   8.8    1.0   0.0909090909091    5.0    0.454545454545  
   8.9    1.0   0.0909090909091    6.0    0.545454545455  
   9.0    1.0   0.0909090909091    7.0    0.636363636364  
   9.1    1.0   0.0909090909091    8.0    0.727272727273  
   9.2    1.0   0.0909090909091    9.0    0.818181818182  
   9.3    1.0   0.0909090909091   10.0    0.909090909091  
   9.4    0.0               0.0   10.0    0.909090909091  
   9.5    1.0   0.0909090909091   11.0               1.0  
   9.6    0.0               0.0   11.0               1.0  
   9.7    0.0               0.0   11.0               1.0  
   9.8    0.0               0.0   11.0               1.0  
   9.9    0.0               0.0   11.0               1.0  
  10.0    0.0               0.0   11.0               1.0  
  10.1    0.0               0.0   11.0               1.0  
  10.2    0.0               0.0   11.0               1.0  
  10.3    0.0               0.0   11.0               1.0  
  10.4    0.0               0.0   11.0               1.0  
  10.5    0.0               0.0   11.0               1.0  
  10.6    0.0               0.0   11.0               1.0  
  10.7    0.0               0.0   11.0               1.0  
  10.8    0.0               0.0   11.0               1.0  
  10.9    0.0               0.0   11.0               1.0  
  11.0    0.0               0.0   11.0               1.0  
  11.1    0.0               0.0   11.0               1.0  
  11.2    0.0               0.0   11.0               1.0  
  11.3    0.0               0.0   11.0               1.0  
  11.4    0.0               0.0    0.0               1.0  
