# M_bin               Cwtot             CGRB   
    7.8                 0.0              0.0 
    7.9                 0.0              0.0 
    8.0                 0.0              0.0 
    8.1                 0.0              0.0 
    8.2   0.000406748861352              0.0 
    8.3     0.0012886128143              0.0 
    8.4    0.00225639922967   0.111111111111 
    8.5      0.003418690241   0.111111111111 
    8.6     0.0046117814599   0.222222222222 
    8.7    0.00589862500846   0.333333333333 
    8.8     0.0161405915651   0.333333333333 
    8.9     0.0336672435924   0.444444444444 
    9.0     0.0542736156017   0.555555555556 
    9.1     0.0817630402229   0.666666666667 
    9.2      0.129702125333   0.777777777778 
    9.3      0.177487582439   0.888888888889 
    9.4       0.23133866662   0.888888888889 
    9.5      0.290331454807              1.0 
    9.6       0.35665909697              1.0 
    9.7      0.418644180556              1.0 
    9.8      0.484996050092              1.0 
    9.9      0.546144618111              1.0 
   10.0      0.605398002798              1.0 
   10.1      0.668705570839              1.0 
   10.2      0.732120037938              1.0 
   10.3      0.792871236061              1.0 
   10.4      0.842881104664              1.0 
   10.5      0.889392268128              1.0 
   10.6      0.925372594295              1.0 
   10.7       0.95621015977              1.0 
   10.8      0.974829024943              1.0 
   10.9      0.986107574742              1.0 
   11.0       0.99438736306              1.0 
   11.1      0.996258341862              1.0 
   11.2      0.998524324427              1.0 
   11.3      0.998795182856              1.0 
   11.4      0.999225675714              1.0 
   11.5      0.999935276094              1.0 
   11.6      0.999935276094              1.0 
   11.7      0.999999999982              1.0
